Weber 5E6A Combo Amp Kit,,,,Notes
Bill of Materials,,,,

Qty,Part Number,Description,,
1,CAB-5F6A,"Cabinet, 5F6A, complete, combo per customer order",,
1,5F6KT,"5F6A Chassis kit. Chassis, brass plate, fiber boards",,
1,5F6FB_PS,cap fiber board,,
,Speaker(s),Speaker(s) per customer order specification,,
1,W022798 (EU),Power Transformer    USA  EU,,See schematic and layout for proper wiring.
1,W018343,"Output Transformer, multitap  ",,
1,W022699,Choke,,
1,W5E6,"Copper Cap Rectifier, custom for this kit",,
2,6L6GCR,Vacuum tube,,
1,12AX7B,Vacuum tube,,
2,12AY7,Vacuum tube,,
1,PC-CUT,"Power cord, cut end",,
,,
1,CCW-5F6A,"Kit, cloth covered wire, 5F6A"
,"( 12 ft. Red, Yellow, Green, 6 ft. Black, White)",
6,CHK-11,"Knob, black, chicken head, flat top"
1,CF-3,"Fuse, 3 amp"
,,
3,SKT8,"Tube socket, octal"
3,SKT9,"Tube socket, 9 pin"
3,TR-8,"Clamp, octal"
20,Bolt-SKT,"Bolt, machine, #4-40x5/16, with nut and star washer or captive nut"
6,Spacer-SKT   ,"Spacer, nylon, for SKT8"
,,
4,RJP-2,"Jack, RCA, chassis mount, diamond shaped black fiber base"
4,RP-C,"Plug, RCA, cable mount"
1,FH-2,Fuseholder
2,CB-1.5,"Bolt, chassis, tweed style, chrome, with nut"
1,PL-2,"Pilot light, red"
1,6N-4,Strain relief
3,WSW-SPST-1,"Switch, toggle, panel mount, SPST"
4,PJP-S,"Chassis mount phone jack, shorting"
2,Small Grommet,"9/16"" OD  Chassis Grommets"
1,Wire Nut,"Wire Nut, small"
4,#8 sheet metal screw,Fiber Board Mounting Screws
1,WP503L-PCB,"Potentiomketer, 50K linear, PCB mount"
1,WP502L,"Potentiometer, 5K linear"
1,WP253L,"Potentiometer, 25K linear"
4,WP105A,"Potentiometer, 1 meg audio"
,,
1,MFR820-.5,"Resistor, 820, 1/2 watt"
5,MFR1500-.5,"Resistor, 1.5K, 1/2 watt"
1,MFR10K-.5,"Resistor, 10K, 1/2 watt"
1,MFR20K-.5,"Resistor, 20K, 1/2 watt"
2,MFR56K-.5,"Resistor, 56K, 1/2 watt"
5,MFR100K-.5,"Resistor, 100K, 1/2 watt"
5,MFR220K-.5,"Resistor, 220K, 1/2 watt"
2,MFR270K-.5,"Resistor, 270K, 1/2 watt"
3,MFR1M-.5,"Resistor, 1M ohm, 1/2 watt"
1,MFR10M-.5,"Resistor, 10M ohm, 1/2 watt"
1,MFR470-1,"Resistor, 470, 1 watt"
2,MFR10K-2,"Resistor, 10K, 2 watt"
1,1N4007,Diode rectifier
1,SMC101-500,"Capacitor, 100pF, 500 volts"
1,SMC251-500,"Capacitor, 250pF, 500 volts"
1,PEC472-630,"Capacitor, .0047uF, 630 volts"
1,PEC103-630,"Capacitor, .01uF, 630 volts"
3,PEC223-630,"Capacitor, .022uF, 630 volts"
1,PEC473-630,"Capacitor, .047uF, 630 volts"
4,PEC104-630,"Capacitor, .1uF, 630 volts"
1,EC256-25,"Capacitor, 25uF, 25 volts"
1,EC257-25,"Capacitor, 250uF, 25 volts"
1,EC107-450,"Capacitor, 100uF, 150 volts"
1,EC805-450,"Capacitor, 8uF, 450 volts"
1,EC805-450,"Capacitor, 8uF, 450 volts"
4,EC166-450,"Capacitor, 16uF, 450 volts"
