Weber 5E7M  Head Amp Kit,,
Bill of Materials,,

Qty,Part Number,Description
1,CAB-5E7 Head,"Cabinet, 5E7 Head, complete"
2,Hole Plug,Chassis Hole Plug
1,5E7MKT,"5E7M Chassis kit. Chassis. brass plate, fiber boards"
1,W022798 (EU),Power Transformer    USA  EU
1,W404248,"Transformer, output"
1,W014684,Choke
1,WU4GB,Copper Cap Rectifier
2,6L6GCR,Vacuum tube
3,12AX7B,Vacuum tube
1,PC-CUT,"Power cord, cut end"
,,
1,CCW-5E7,"Kit, cloth covered wire, 5E7"
,"( 10 ft. Red, Yellow, Green)",
5,CHK-11,"Knob, black, chicken head, flat top"
1,CF-3,"Fuse, 3 amp"
,,
3,SKT8,"Tube socket, octal"
3,SKT9,"Tube socket, 9 pin"
3,TR-8,"Clamp, octal"
12,Bolt-SKT,"Bolt, machine, #4-40x5/16, with nut and star washer"
6,Spacer-SKT   ,"Spacer, nylon, for SKT8"
,,
1,PP-C,"Phone plug, cable mount"
1,FH-2,Fuseholder
2,CB-1.5,"Bolt, chassis, tweed style, chrome, with nut"
1,PL-2,"Pilot light, red"
1,6N-4,Strain relief
3,WSW-SPST-1,"Switch, toggle, panel mount, SPST"
1,PJP,"Chassis mount phone jack, non shorting"
5,PJP-S,"Chassis mount phone jack, shorting"
2,Small Grommet,"9/16"" OD  Chassis Grommets"
1,Wire Nut,"Wire Nut, small"
2,#8 sheet metal screw,Fiber Board Mounting Screws
1,WP104L,"Potentiometer, 100K linear"
4,WP105A,"Potentiometer, 1 meg audio"
,,
1,MFR820-.5,"Resistor, 820, 1/2 watt"
5,MFR1500-.5,"Resistor, 1.5K, 1/2 watt"
1,MFR6.8K-.5,"Resistor, 6.8K, 1/2 watt"
4,MFR56K-.5,"Resistor, 56K, 1/2 watt"
4,MFR68K-.5,"Resistor, 68K, 1/2 watt"
6,MFR100K-.5,"Resistor, 100K, 1/2 watt"
4,MFR220K-.5,"Resistor, 220K, 1/2 watt"
2,MFR270K-.5,"Resistor, 270K, 1/2 watt"
3,MFR1M-.5,"Resistor, 1M, 1/2 watt"
1,MFR10M-.5,"Resistor, 10M, 1/2 watt"
2,MFR10K-2,"Resistor, 10K, 2 watt"
1,1N4007,Diode rectifier
1,SMC101-500,"Capacitor, 100pF, 500 volts"
1,SMC251-500,"Capacitor, 250pF, 500 volts"
1,PEC472-630,"Capacitor, .0047uF, 630 volts"
1,PEC103-630,"Capacitor, .01uF, 630 volts"
3,PEC223-630,"Capacitor, .022uF, 630 volts"
1,PEC473-630,"Capacitor, .047uF, 630 volts"
4,PEC104-630,"Capacitor, .1uF, 630 volts"
2,EC256-25,"Capacitor, 25uF, 25 volts"
1,EC107-150,"Capacitor, 100uF, 150 volts"
1,EC805-450,"Capacitor, 8uF, 450 volts"
3,EC166-450,"Capacitor, 16uF, 450 volts"
