Weber 5E8a Amp Kit,,
Bill of Materials,,

Qty,Part Number,Description
1,CAB-5E8A,"Cabinet, 5E8A, complete"
1,5E8AKT,"5E8A Chassis kit. Chassis. brass plate, fiber boards"
2,12A150-A,"Speaker, 12A150-A, 8 ohm, AlNiCo, 25 watt"
1,W022798 (EU),Power Transformer    USA  EU
1,W404248,"Transformer, output"
1,W014684,Choke
2,WU4GB,Copper Cap Rectifier
2,6L6GCR,Vacuum tube
4,12AX7B,Vacuum tube
1,PC-CUT,"Power cord, cut end"
8,Nut-#8-32            ,"Nut, #8-32 with integral washer (for mounting speaker)"
,,
1,CCW-5E8A,"Kit, cloth covered wire, 5E8A"
,"( 12 ft. Red, Yellow, Green, 4 ft. Black, White)",
5,CHK-11,"Knob, black, chicken head, flat top"
1, CF-3,"Fuse, 3 amp"
,,
4,SKT8,"Tube socket, octal"
4,SKT9,"Tube socket, 9 pin"
4,TR-8,"Clamp, octal"
16,Bolt-SKT,"Bolt, machine, #4-40x5/16, with nut and star washer"
8,Spacer-SKT   ,"Spacer, nylon, for SKT8"
,,
1,PP-C,"Phone plug, cable mount"
1,FH-2,Fuseholder
2,CB-1.5,"Bolt, chassis, tweed style, chrome, with nut"
1,PL-2,"Pilot light, red"
1,6N-4,Strain relief
3,WSW-SPST-1,"Switch, toggle, panel mount, SPST"
1,PJP,"Chassis mount phone jack, non shorting"
4,PJP-S,"Chassis mount phone jack, shorting"
2,Small Grommet,"9/16"" OD  Chassis Grommets"
1,Wire Nut,"Wire Nut, small"
2,#8 sheet metal screw,Fiber Board Mounting Screws
1,WP502L,"Potentiometer, 5K linear"
4,WP105A,"Potentiometer, 1 meg audio"
,,
1,MFR470-.5,"Resistor, 470, 1/2 watt"
5,MFR1500-.5,"Resistor, 1.5K, 1/2 watt"
1,MFR4.7K-.5,"Resistor, 4.7K, 1/2 watt"
4,MFR56K-.5,"Resistor, 56K, 1/2 watt"
11,MFR100K-.5,"Resistor, 100K, 1/2 watt"
5,MFR220K-.5,"Resistor, 220K, 1/2 watt"
2,MFR270K-.5,"Resistor, 270K, 1/2 watt"
5,MFR1M-.5,"Resistor, 1M ohm, 1/2 watt"
1,MFR10M-.5,"Resistor, 10M, 1/2 watt"
2,MFR10K-2,"Resistor, 10K, 2 watt"
1,1N4007,Diode rectifier
1,SMC101-500,"Capacitor, 100pF, 500 volts"
1,SMC251-500,"Capacitor, 250pF, 500 volts"
1,PEC472-630,"Capacitor, .0047uF, 630 volts"
1,PEC103-630,"Capacitor, .01uF, 630 volts"
3,PEC223-630,"Capacitor, .022uF, 630 volts"
1,PEC473-630,"Capacitor, .047uF, 630 volts"
4,PEC104-630,"Capacitor, .1uF, 630 volts"
1,EC256-25,"Capacitor, 25uF, 25 volts"
1,EC257-25,"Capacitor, 250uF, 25 volts"
1,EC107-150,"Capacitor, 100uF, 150 volts"
1,EC805-450,"Capacitor, 8uF, 450 volts"
4,EC166-450,"Capacitor, 16uF, 450 volts"
