Dave Hunter Two Stroke Amp Kit,,
Bill of Materials,,

Qty ,Part Number,Description
1,CAB-Two Stroke,"Cabinet, Two Stroke, complete"
1,Chassis Kit,Two Stroke Chassis kit. Chassis. 5F2 brass plate & fiber boards
,Speakers,Speakers (Customer Select)
1,W022772 (EU),Power Transformer    USA  EU
1,WSE15,"Transformer, output"
1,WY3GT,Copper Cap Rectifier
1,6L6GCR,Vacuum tube
1,12AX7B,Vacuum tube
1,PC-CUT,"Power cord, cut end"
4 or 8,Nut-#8-32,"Nut, #8-32 with integral washer (for mounting speaker)"
,,
1,CCW-5F2A,"Kit, cloth covered wire, 5F2A"
,"( 4 ft. Red, Yellow, Green, 3 ft. Black, White)",
1,CBL-1ft-shld,"Cable, shielded, 1ft piece, unterminated"
2,CHK-11,"Knob, black, chicken head, flat top"
1,CF-1,"Fuse, 1 amp"
,,
2,SKT8,"Tube socket, octal"
1,SKT9,"Tube socket, 9 pin"
2,TR-8,"Clamp, octal"
6,Bolt-SKT,"Bolt, machine, #4-40x5/16, with nut and star washer"
4,Spacer-SKT   ,"Spacer, nylon, for SKT8"
,,
1 or 2,PP-C,"Phone plug, cable mount (1 with 12"",  2 with 8""/10"")"
1,PJ-P-S,"Chassis mount phone jack, shorting"
2,PJ-P,Chassis mount phone jack
1,FH-2,Fuseholder
2,CB-1.5,"Bolt, chassis, tweed style, chrome, with nut"
1,FENPL-7,"Pilot light, purple"
1,6N-4,Strain relief
1,WSW-SPST-1,"Switch, toggle, panel mount, SPST"
1,WSW-DPDT-M-CO,"Mini Toggle Switch, Panel Mount, DPDT, Center Off"
1,WSW-DPDT-F-5,"Switch, toggle, panel mount, DPDT"
2,Small Grommet,"9/16"" OD  Chassis Grommets"
1,TS-3,"Terminal strip, 3 position"
1,Wire Nut,"Wire Nut, small"
2,#8 Terminal,#8-32 Solder Terminal Keystone
2,#8 sheet metal screw,Fiber Board Mounting Screws
2,WP105A,"Potentiometer, 1 meg audio"
,,
2,MFR1500-.5,"Resistor, 1.5K, 1/2 watt"
2,MFR68K-.5,"Resistor, 68K, 1/2 watt"
1,MFR220K-.5,"Resistor, 220K, 1/2 watt"
1,MFR1M-.5,"Resistor, 1M, 1/2 watt"
1,MFR68K-1,"Resistor, 68K, 1 watt"
1,MFR1.5K-2,"Resistor, 1.5K, 2 watt"
1,MFR10K-2,"Resistor, 10K, 2 watt"
1,RES500-10,"Resistor, 500, 10 watt"
2,CCR100K-.5,"Resistor, 100K, 1/2 watt"
1,SMC501-500,"Capacitor, 500pF, 500 volts"
1,PPC472-630,"Capacitor, .0047uF, 630 volts"
1,PPC474-400,"Capacitor, .47uF, 400 volts"
2,PEC223-630,"Capacitor, .022uF, 630 volts"
3,EC256-50,"Capacitor, 25uF, 50 volts"
1,EC805-150,"Capacitor, 8uF, 150 volts"
1,EC166-450,"Capacitor, 16uF, 450 volts"
1,EC206-450,"Capacitor, 20uF, 450 volts"
